교양교과목 편성 현황(2025학년도 1학기 기준),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025학년도 교육과정(입학자),,,,,,
연번,대학명(부서명),편성신청학과(부서명),교과목코드,교과목명,편성학기,편성신청학과(부서명),학점구조,평가방법,원격강의,SW지정,이수구분,교육과정구분,교양영역구분,핵심역량,"2011~2016학년도
교육과정(입학자)","2017~2020학년도
교육과정(입학자)","2021~2024학년도
교육과정(입학자)",비고
1,본부소속,교양교육센터,2009094,비판적사고와소통,2025-1,교양교육센터,3-3-0,,,,교양필수,기초교양 ,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
2,본부소속,교양교육센터,2006777,CommunicationinEnglish(L＆R)Ⅰ,2021-1,교양교육센터,2-2-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
3,본부소속,교양교육센터,2006778,CommunicationinEnglish(L＆R)Ⅱ,2021-1,교양교육센터,2-2-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
4,본부소속,교양교육센터,2006779,CommunicationinEnglish(SW)Ⅰ,2021-1,교양교육센터,2-2-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
5,본부소속,교양교육센터,2006780,CommunicationinEnglish(SW)Ⅱ,2021-1,교양교육센터,2-2-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
6,본부소속,교양학부,1001036,기초영어,2011-1,교양학부,3-3-0,S/U,Y,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
7,본부소속,교양학부,2009098,한국어쓰기와발표,2025-1,교양학부,3-3-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,비판적사고와소통 외국인학생대상대체과목
8,본부소속,교양학부,2006920,한국어문규정,2021-1,교양학부,2-2-0,,,,교양필수,기초교양 ,사고와표현,의사소통역량,,공통기초교양,기초교양필수  ,CommunicationinEnglish 외국인학생대상대체과목
9,본부소속,교양학부,2006943,한국어문화의이해,2021-2,교양학부,2-2-0,,,,교양필수,기초교양 ,사고와표현,의사소통역량,,공통기초교양,기초교양필수  ,CommunicationinEnglish 외국인학생대상대체과목
10,본부소속,교양교육센터,2009095,SW와문제해결,2025-1,교양교육센터,2-2-0,,,,교양필수,기초교양 ,디지털리터러시,가치탐구역량,,공통기초교양,기초교양필수  ,
11,본부소속,교양교육센터,2009096,컴퓨팅적사고,2025-1,교양교육센터,2-2-0,,,,교양필수,기초교양 ,디지털리터러시,가치탐구역량,,공통기초교양,기초교양필수  ,
12,본부소속,교양교육센터,2009097,대학생활과미래설계,2025-1,교양교육센터,1-1-0,,,,교양필수,기초교양 ,자기설계,자기계발역량,,학문기초교양,소양교양필수 ,1학기 개설
13,사범대학,윤리교육과,2008939,마음공부와명상,2024-2,윤리교육과,2-2-0,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
14,사범대학,컴퓨터교육과,2008417,데이터분석과인공지능활용,2024-1,컴퓨터교육과,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제3영역,
15,사범대학,윤리교육과,2007727,한국인의정서와문화그리고미래,2023-1,윤리교육과,1-1-0,,,,교양선택,기초교양,기초학문(사범대학),가치탐구역량,2016인문사회과학영역,학문기초교양,기초교양선택(사범대학),
16,사범대학,지리교육과,2008300,충청문화유산이야기,2023-2,지리교육과,3-3-0,S/U,Y,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016인문사회과학영역,일반교양,소양교양선택,
17,사범대학,일반사회교육과,2007728,인권감수성더하기,2023-1,일반사회교육과,1-1-0,,Y,,교양선택,기초교양,기초학문(사범대학),공동체역량,2016인문사회과학영역,학문기초교양,기초교양선택(사범대학),
18,사범대학,문헌정보교육과,2007729,기계학습을위한파이썬기초,2023-1,문헌정보교육과,1-1-0,,Y,,교양선택,기초교양,기초학문(사범대학),자기계발역량,2016자연과학영역,학문기초교양,기초교양선택(사범대학),
19,사범대학,컴퓨터교육과,2007730,AI융합코딩,2023-2,컴퓨터교육과,1-1-0,,Y,,교양선택,기초교양,기초학문(사범대학),자기계발역량,2016자연과학영역,학문기초교양,기초교양선택(사범대학),
20,사범대학,윤리교육과,2007731,인공지능과윤리적삶,2024-1,윤리교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
21,사범대학,영어교육과,2007733,영미청소년소설읽기,2023-1,영어교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
22,사범대학,음악교육과,2007734,K-POP과판소리,2023-1,음악교육과,2-1-2,,,,교양선택,균형교양,C(외국어예술건강진로),공동체역량,2016문화및예체능영역,일반교양,소양교양선택,
23,사범대학,체육교육과,2007735,요가와필라테스,2023-1,체육교육과,2-1-2,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016문화및예체능영역,일반교양,소양교양선택,
24,사범대학,사범대학,2006783,웹기반수업의이론과교수전략,2021-1,사범대학,2-2-0,,,,교양선택,균형교양,B(자연생명과학기술),자기계발역량,2016인문사회과학영역,일반교양,소양교양선택,
25,사범대학,국어교육과,2006873,사랑과죽음의문학적탐구,2021-2,국어교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
26,사범대학,교육학과,2001644,시민교육론,2020-1,교육학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,일반교양,균형교양 제5영역,
27,사범대학,교육학과,2001643,청소년교육론,2017-1,교육학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
28,사범대학,교육학과,0001115,인간심리의이해,2000-1,교육학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),의사소통역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
29,사범대학,교육학과,2004722,통계로보는인간의마음,2020-1,교육학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,일반교양,소양교양선택,
30,사범대학,교육학과,2006785,지역문제해결학습,2021-1,교육학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
31,사범대학,교육학과,0001429,평생교육론,2009-2,교육학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016취창업및진로영역,일반교양,소양교양선택,
32,사범대학,교육학과 ,2001626,영화와함께하는심리여행,2014-1,교육학과 ,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016인문사회과학영역,핵심교양,소양교양선택,
33,사범대학,교육학과,2004711,미래사회에서교육과수업의혁신,2018-1,교육학과,3-3-0,S/U,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,핵심교양-사범대,핵심교양,소양교양선택,
34,사범대학,교육학과,0001416,평생교육실습,2012-1,교육학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016인문사회과학영역,일반교양,소양교양선택,
35,사범대학,한문교육과,2006786,취업과생활한자,2021-1,한문교육과,3-3-0,,,,교양선택,기초교양,기초학문(사범대학),자기계발역량,2016인문사회과학영역,학문기초교양,기초교양선택(사범대학),
36,사범대학,영어교육과,2000385,토익Ⅰ,2012-1,영어교육과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
37,사범대학,영어교육과,2005686,4차산업혁명시대영어학습-디지털리터러시-,2020-2,영어교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),의사소통역량,2016외국어영역,핵심교양,균형교양 제1영역,
38,사범대학,영어교육과,2007033,영어발음클리닉,2022-1,영어교육과,3-3-0,S/U,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
39,사범대학,윤리교육과,0000116,공학윤리,2002-1,윤리교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
40,사범대학,윤리교육과,2008250,텍스트와함께철학하기,2023-2,윤리교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
41,사범대학,윤리교육과,2006787,윤리와시민,2021-1,윤리교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
42,사범대학,역사교육과,0001131,서양의역사와문화,2000-1,역사교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,일반교양,균형교양 제4영역,
43,사범대학,역사교육과,2006788,아시아의역사와문화,2021-1,역사교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
44,사범대학,지리교육과,2003869,아틀라스세계여행(AtlasWorldTour),2018-2,지리교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),의사소통역량,2016문화및예체능영역,핵심교양,균형교양 제5영역,
45,사범대학,지리교육과,2006789,아틀라스한국여행,2022-1,지리교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,균형교양 제5영역,
46,사범대학,수학교육과,2003862,기초수학I,2017-1,수학교육과,3-3-0,,,,교양선택,기초교양,기초학문(사범대학),가치탐구역량,2016자연과학영역,학문기초교양,기초교양선택(사범대학),
47,사범대학,수학교육과,2003863,기초수학II,2017-2,수학교육과,3-3-0,,,,교양선택,기초교양,기초학문(사범대학),가치탐구역량,2016자연과학영역,학문기초교양,기초교양선택(사범대학),
48,사범대학,물리교육과,2006791,교사를위한물리,2021-1,물리교육과,3-3-0,,,,교양선택,기초교양,기초학문(사범대학),자기계발역량,2016자연과학영역,학문기초교양,기초교양선택(사범대학),
49,사범대학,지구과학교육과,2007317,기후변화상식을넘어서,2022-1,지구과학교육과,3-3-0,,Y,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
50,사범대학,환경교육과,2001641,연구윤리와사회적책임,2014-1,환경교육과,3-3-0,S/U,Y,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
51,사범대학,컴퓨터교육과,0000125,컴퓨터의활용,2006-1,컴퓨터교육과,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),자기계발역량,2016자연과학영역,핵심교양,균형교양 제3영역,
52,사범대학,컴퓨터교육과,2006793,4차산업혁명의창의적융합인재양성,2021-1,컴퓨터교육과,3-3-0,,Y,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016인문사회과학영역,핵심교양,균형교양 제3영역,
53,사범대학,컴퓨터교육과,2007032,AI리터러시,2022-1,컴퓨터교육과,3-3-0,,Y,,교양선택,균형교양,B(자연생명과학기술),자기계발역량,2016자연과학영역,핵심교양,균형교양 제3영역,
54,사범대학,기술가정교육과,0001380,식생활트렌드와건강,2006-1,기술가정교육과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016자연과학영역,핵심교양,소양교양선택,
55,사범대학,체육교육과,2006944,배드민턴초급,2021-1,체육교육과,2-1-2,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016문화및예체능영역,일반교양,소양교양선택,
56,사범대학,체육교육과,2006945,야구&소프트볼,2021-2,체육교육과,2-1-2,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016문화및예체능영역,일반교양,소양교양선택,
57,사범대학,체육교육과,2007574,기초골프,2022-2,체육교육과,2-1-2,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016문화및예체능영역,일반교양,소양교양선택,
58,사범대학,미술교육과,0001393,현대생활과디자인,2006-2,미술교육과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,2016문화및예체능영역,일반교양,균형교양 제4영역,
59,사범대학,음악교육과,2006879,국악연주의기초,2021-2,음악교육과,2-1-2,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016문화및예체능영역,일반교양,소양교양선택,
60,인문사회과학대학,관광&영어통역융복합학과,2008974,영문독해,2024-2,관광&영어통역융복합학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
61,인문사회과학대학,중어중문학과,2008940,여행중국어,2024-2,중어중문학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016인문사회과학영역,일반교양,소양교양선택,
62,인문사회과학대학,중어중문학과,2008418,중국어첫걸음,2024-1,중어중문학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016인문사회과학영역,일반교양,소양교양선택,
63,인문사회과학대학,관광경영학과,2008419,글로벌이슈와관광,2024-1,관광경영학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,일반교양,소양교양선택,
64,인문사회과학대학,행정학과,2007736,공공부문진출을위한행정기초지식,2023-1,행정학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
65,인문사회과학대학,영어영문학과,2006795,언어와사회,2021-1,영어영문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
66,인문사회과학대학,영어영문학과,2006796,영어핵심구문12가지레시피,2021-1,영어영문학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
67,인문사회과학대학,영어영문학과,2006797,교양으로배우는셰익스피어,2021-1,영어영문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,일반교양,소양교양선택,
68,인문사회과학대학,영어영문학과,2006799,미국문화이해,2022-1,영어영문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,균형교양 제6영역,
69,인문사회과학대학,영어영문학과,0001262,초급영어회화,2006-1,영어영문학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016외국어영역,핵심교양,소양교양선택,
70,인문사회과학대학,중어중문학과,2000388,영화로배우는중국문화,2012-1,중어중문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,소양교양선택,
71,인문사회과학대학,불어불문학과,0001129,프랑스문화의이해,2000-1,불어불문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,균형교양 제6영역,
72,인문사회과학대학,불어불문학과,2004822,프랑스어첫걸음,2020-2,불어불문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),의사소통역량,2016외국어영역,일반교양,소양교양선택,
73,인문사회과학대학,불어불문학과,0001278,프랑스영화감상,2006-1,불어불문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,일반교양,소양교양선택,
74,인문사회과학대학,독어독문학과,2002008,기초독일어,2014-2,독어독문학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
75,인문사회과학대학,독어독문학과,0001010,독일문화의이해,2000-1,독어독문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016문화및예체능영역,일반교양,균형교양 제6영역,
76,인문사회과학대학,독어독문학과,2000326,문학과인생,2012-1,독어독문학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,핵심교양-인사대,핵심교양,균형교양 제1영역,
77,인문사회과학대학,사학과,2006800,역사속의백제,2021-1,사학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
78,인문사회과학대학,사학과,2006801,역사적상상력,2021-1,사학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
79,인문사회과학대학,사학과,2000327,역사속의한장면,2012-1,사학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,핵심교양-인사대,핵심교양,균형교양 제4영역,
80,인문사회과학대학,사학과,0001313,한국의역사와문화,2006-1,사학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
81,인문사회과학대학,사학과,0001314,유럽문화역사이야기,2006-1,사학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
82,인문사회과학대학,사학과,2002211,문화산업과문화콘텐츠,2015-1,사학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,2016취창업및진로영역,핵심교양,균형교양 제4영역,
83,인문사회과학대학,사학과,2004947,역사속동물이야기,2019-1,사학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,일반교양,소양교양선택,
84,인문사회과학대학,지리학과,2004173,영화속도시문화,2017-2,지리학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,일반교양,소양교양선택,
85,인문사회과학대학,"경제통상학부
경제학전공",2001642,사회와경제,2014-1,"경제통상학부
경제학전공",3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,핵심교양-인사대,핵심교양,균형교양 제5영역,
86,인문사회과학대학,"경제통상학부
경제학전공",0001141,현대경제의이해,2000-1,"경제통상학부
경제학전공",3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
87,인문사회과학대학,"경제통상학부
국제통상학전공",2004952,국제비즈니스와무역영어,2022-2,"경제통상학부
국제통상학전공",3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
88,인문사회과학대학,경영학과,2001837,광고와소비자심리,2014-1,경영학과,3-3-0,,Y,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
89,인문사회과학대학,관광경영학과,0000132,비즈니스와매너,2006-1,관광경영학과,3-3-0,,Y,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016취창업및진로영역,핵심교양,소양교양선택,
90,인문사회과학대학,행정학과,2006803,안전사회를위한사회네트워크,2021-1,행정학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
91,인문사회과학대학,법학과,2003884,국제사회와인권,2017-1,법학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
92,인문사회과학대학,법학과,2003885,협상의용기,2017-1,법학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),의사소통역량,2016인문사회과학영역,일반교양,균형교양 제1영역,
93,인문사회과학대학,법학과,0001331,생활법률,2006-1,법학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
94,인문사회과학대학,법학과,2000328,사회정의론,2012-1,법학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,핵심교양-인사대,핵심교양,균형교양 제5영역,
95,인문사회과학대학,법학과,0001235,공학법제,2002-1,법학과,3-3-0,,Y,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016취창업및진로영역,핵심교양,균형교양 제5영역,
96,인문사회과학대학,법학과,2008251,현대사회에서알아야할가족법,2023-2,법학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
97,자연과학대학,데이터정보물리학과,2008420,인공지능원리와활용,2024-1,데이터정보물리학과,3-3-0,,,,교양선택,기초교양,기초학문(자연과학대학),자기계발역량,2016자연과학영역,학문기초교양,기초교양선택(자연과학대학),
98,자연과학대학,데이터정보물리학과,2008421,과학적프로그래밍입문,2024-1,데이터정보물리학과,3-3-0,,,Y,교양선택,기초교양,기초학문(자연과학대학),자기계발역량,핵심교양-자연대,학문기초교양,기초교양선택(자연과학대학),
99,자연과학대학,생명과학과,2008422,자연과학과인공지능,2024-1,생명과학과,3-3-0,,,,교양선택,기초교양,기초학문(자연과학대학),가치탐구역량,2016자연과학영역,학문기초교양,기초교양선택(자연과학대학),
100,자연과학대학,데이터정보물리학과,2008423,에너지(신)산업개론,2024-1,데이터정보물리학과,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제3영역,
101,자연과학대학,데이터정보물리학과,2000331,기초물리학,2012-1,데이터정보물리학과,3-3-0,,,,교양선택,기초교양,"기초학문(자연과학대학,천안공과대학)",가치탐구역량,핵심교양-자연대,학문기초교양,기초교양선택(자연과학대학),
102,자연과학대학,응용수학과,2002205,기초통계학,2015-1,응용수학과,3-3-0,,,,교양선택,기초교양,기초학문(자연과학대학),가치탐구역량,핵심교양-자연대,학문기초교양,기초교양선택(자연과학대학),
103,자연과학대학,응용수학과,2004003,융합기초수학,2017-1,응용수학과,3-3-0,,,,교양선택,기초교양,기초학문(자연과학대학),가치탐구역량,2016자연과학영역,학문기초교양,기초교양선택(자연과학대학),
104,자연과학대학,응용수학과,2006805,통계의이해와활용,2022-2,응용수학과,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
